state,issue_age,gender,plan,uw_class,preferred,hhd,application_count,entered_premium
FL,65,F,G,OE,Y,Y,1,2651.28
GA,65,F,G,OE,Y,N,3,5801.4
GA,65,M,G,OE,Y,N,2,4386.0
GA,65,F,G,OE,Y,Y,4,6743.4
GA,65,M,G,OE,Y,Y,10,19861.08
IA,65,F,G,OE,Y,N,7,11167.28
IA,65,M,G,OE,Y,N,6,11179.2
IA,65,F,G,OE,Y,Y,21,30838.44
IA,65,M,G,OE,Y,Y,18,29026.48
IL,65,F,G,OE,Y,N,8,13031.34
IL,65,M,G,OE,Y,N,6,11007.96
IL,65,M,G,OE,N,N,1,2085.36
IL,65,F,G,OE,Y,Y,15,22283.28
IL,65,M,G,OE,Y,Y,22,37158.96
IL,65,F,G,OE,N,Y,1,1668.24
KS,65,F,G,OE,Y,N,1,1908.84
KS,65,F,G,OE,Y,Y,1,1825.32
KS,65,M,G,OE,Y,Y,4,8214.24
LA,65,F,G,OE,Y,N,1,1641.6
LA,65,M,G,OE,Y,N,3,5540.4
LA,65,F,G,OE,Y,Y,3,4432.32
LA,65,M,G,OE,Y,Y,4,7137.36
MI,65,F,G,OE,Y,Y,4,6298.68
MI,65,M,G,OE,Y,Y,2,3660.96
NC,65,F,G,OE,Y,N,3,4608.36
NC,65,M,G,OE,Y,N,3,5299.56
NC,65,F,G,OE,Y,Y,11,14904.72
NC,65,M,G,OE,Y,Y,7,11094.84
NE,65,F,G,OE,Y,N,2,3605.76
NE,65,M,G,OE,Y,N,1,2028.24
NE,65,F,G,OE,Y,Y,8,12981.12
NE,65,M,G,OE,Y,Y,8,14661.96
NH,65,M,G,OE,Y,Y,1,2507.28
NJ,65,F,G,OE,Y,N,5,9928.28
NJ,65,M,G,OE,Y,N,2,4566.96
NJ,65,F,G,OE,Y,Y,1,1846.68
NJ,65,M,G,OE,Y,Y,1,2123.64
OH,65,F,G,OE,Y,N,1,1762.68
OH,65,F,G,OE,Y,Y,1,1586.4
PA,65,F,G,OE,Y,N,4,8525.76
PA,65,M,G,OE,Y,N,1,1902.96
PA,65,F,G,OE,Y,Y,4,7074.0
PA,65,M,G,OE,Y,Y,5,10267.68
SC,65,F,G,OE,Y,N,1,1669.68
SC,65,F,G,OE,Y,Y,6,8786.16
SC,65,M,G,OE,Y,Y,10,16873.32
TN,65,F,G,OE,Y,Y,6,8680.44
TN,65,M,G,OE,Y,Y,6,9824.64
TX,65,F,G,OE,Y,N,4,7203.84
TX,65,F,G,OE,Y,Y,9,15169.2
TX,65,M,G,OE,Y,Y,12,23073.24
VA,65,F,G,OE,Y,N,3,4280.86
VA,65,M,G,OE,Y,N,3,4816.08
VA,65,F,G,OE,Y,Y,6,7946.28
VA,65,M,G,OE,Y,Y,14,20498.04
SC,65,M,G,OE,N,N,1,1684.04
AZ,65,F,G,UW,Y,N,1,1875.36
AZ,65,M,G,UW,Y,N,1,2156.64
AZ,65,F,G,UW,Y,Y,2,3289.44
AZ,65,M,G,UW,Y,Y,1,1891.32
AZ,65,F,G,UW,N,Y,1,1809.24
CO,65,F,G,UW,Y,Y,1,1667.28
GA,65,F,G,UW,Y,Y,2,3415.32
IA,65,F,G,UW,Y,N,1,1639.92
IA,65,F,G,UW,Y,Y,2,2951.76
IL,65,F,G,UW,Y,N,1,1649.76
IL,65,F,G,UW,Y,Y,1,1484.76
IL,65,M,G,UW,Y,Y,1,1670.4
IL,65,F,G,UW,N,Y,1,1633.32
IL,65,M,G,UW,N,Y,1,2064.48
MI,65,F,G,UW,N,Y,1,1750.92
NE,65,F,G,UW,Y,Y,1,1622.64
NJ,65,F,G,UW,Y,Y,1,1846.68
PA,65,M,G,UW,Y,Y,1,2132.64
VA,65,F,G,UW,Y,Y,1,1325.4
VA,65,M,G,UW,Y,Y,1,1444.8
TX,65,F,G,OE,Y,Y,1,636.12
VA,65,F,G,OE,Y,Y,1,423.48
CO,65,M,N,OE,Y,N,1,1679.04
CO,65,M,N,OE,Y,Y,1,1404.96
GA,65,F,N,OE,Y,N,1,1446.24
GA,65,F,N,OE,Y,Y,5,6440.52
GA,65,M,N,OE,Y,Y,1,1694.4
IA,65,F,N,OE,Y,Y,1,1139.88
IL,65,F,N,OE,Y,Y,4,4530.24
KS,65,F,N,OE,Y,Y,1,1253.28
LA,65,F,N,OE,Y,Y,1,1458.48
MI,65,F,N,OE,Y,Y,1,1091.28
MI,65,M,N,OE,Y,Y,2,2611.32
NC,65,M,N,OE,Y,N,1,1296.84
NC,65,M,N,OE,Y,Y,1,1137.36
NE,65,F,N,OE,Y,N,1,1338.24
NE,65,M,N,OE,Y,Y,2,2709.84
NJ,65,M,N,OE,Y,N,2,3180.48
NJ,65,F,N,OE,Y,Y,1,1286.04
NJ,65,M,N,OE,Y,Y,3,4436.64
OH,65,F,N,OE,Y,Y,1,1231.8
PA,65,F,N,OE,Y,N,2,3104.64
PA,65,F,N,OE,Y,Y,2,2722.8
PA,65,M,N,OE,Y,Y,1,1615.68
SC,65,F,N,OE,Y,N,1,1286.52
SC,65,F,N,OE,Y,Y,1,1128.24
TN,65,F,N,OE,Y,Y,2,2068.56
TN,65,M,N,OE,Y,Y,1,1189.44
TX,65,F,N,OE,Y,N,1,1543.56
TX,65,M,N,OE,Y,N,1,1775.16
TX,65,F,N,OE,Y,Y,5,6097.8
TX,65,M,N,OE,Y,Y,6,8569.2
VA,65,F,N,OE,Y,Y,2,1937.52
VA,65,M,N,OE,Y,Y,5,5449.8
CO,65,M,N,UW,N,Y,1,1392.72
IL,65,M,N,UW,Y,N,1,1415.76
NJ,65,M,N,UW,N,N,1,1749.36
PA,65,M,N,UW,Y,N,1,1785.12
WI,65,F,G,GI,Y,Y,1,1913.88
WI,65,F,G,OE,Y,N,1,1994.88
WI,65,F,G,OE,Y,Y,5,9322.44
WI,65,M,G,OE,Y,Y,6,13135.08
CO,65,M,G,GI,Y,Y,1,1690.32
FL,65,M,G,GI,Y,Y,1,3049.08
MI,65,F,G,GI,Y,Y,1,1591.68
TX,65,M,G,GI,Y,Y,1,1825.56
AZ,65,F,G,OE,Y,Y,2,3414.6
AZ,65,M,G,OE,Y,Y,1,2101.32
CO,65,M,G,OE,Y,Y,1,1690.32
FL,65,M,G,OE,Y,Y,1,3049.08
GA,65,F,G,OE,Y,Y,2,3344.88
GA,65,M,G,OE,Y,Y,2,4387.8
IA,65,F,G,OE,Y,N,1,1639.92
IA,65,M,G,OE,N,N,1,2086.56
IA,65,F,G,OE,Y,Y,5,7238.88
IA,65,M,G,OE,Y,Y,4,6325.44
IA,65,F,G,OE,N,Y,2,3338.4
IA,65,M,G,OE,N,Y,1,2075.52
IL,65,M,G,OE,Y,N,1,1856.04
IL,65,F,G,OE,Y,Y,8,11925.72
IL,65,M,G,OE,Y,Y,6,10075.92
KS,65,M,G,OE,Y,Y,2,4107.12
LA,65,M,G,OE,Y,Y,1,1759.8
MI,65,F,G,OE,Y,N,1,1814.88
MI,65,F,G,OE,Y,Y,1,1591.68
MI,65,M,G,OE,Y,Y,2,3719.52
NC,65,F,G,OE,Y,Y,2,2694.24
NC,65,M,G,OE,Y,Y,3,4647.6
NE,65,F,G,OE,Y,N,2,3605.76
NE,65,F,G,OE,Y,Y,6,9735.84
NE,65,M,G,OE,Y,Y,3,5534.76
NH,65,M,G,OE,Y,Y,1,2507.28
NJ,65,F,G,OE,Y,N,2,3971.28
NJ,65,M,G,OE,Y,Y,1,2123.64
PA,65,F,G,OE,Y,Y,3,5219.52
PA,65,M,G,OE,Y,Y,1,2132.64
SC,65,F,G,OE,Y,N,1,1939.56
SC,65,F,G,OE,Y,Y,3,4393.08
SC,65,M,G,OE,Y,Y,2,3401.64
TN,65,F,G,OE,Y,N,1,1606.44
TN,65,F,G,OE,Y,Y,2,2817.6
TN,65,M,G,OE,Y,Y,2,3240.24
TX,65,F,G,OE,Y,N,2,4205.28
TX,65,F,G,OE,Y,Y,2,3431.52
TX,65,M,G,OE,Y,Y,4,7726.44
VA,65,F,G,OE,Y,N,1,1426.92
VA,65,M,G,OE,Y,N,2,3262.08
VA,65,F,G,OE,Y,Y,6,7946.28
VA,65,M,G,OE,Y,Y,3,4695.6
MI,65,M,G,OE,N,N,1,1830.5
VA,65,F,G,OE,Y,Y,2,2889.6
VA,65,M,G,OE,Y,Y,2,2889.6
AZ,65,F,G,UW,Y,Y,5,8276.28
AZ,65,M,G,UW,Y,Y,1,1891.32
AZ,65,M,G,UW,N,Y,1,2439.96
FL,65,M,G,UW,Y,Y,1,3049.08
IA,65,F,G,UW,Y,Y,4,5622.48
IA,65,M,G,UW,N,Y,1,1826.52
IL,65,M,G,UW,Y,N,1,1856.04
IL,65,F,G,UW,N,N,2,3687.72
IL,65,M,G,UW,N,N,1,2041.56
IL,65,F,G,UW,N,N,1,2062.2
IL,65,F,G,UW,Y,Y,4,5939.04
IL,65,M,G,UW,Y,Y,3,5217.6
IL,65,F,G,UW,N,Y,1,1835.16
IL,65,F,G,UW,N,Y,1,1855.92
LA,65,M,G,UW,Y,Y,1,1759.8
MI,65,F,G,UW,Y,N,2,3494.04
MI,65,F,G,UW,Y,Y,5,7601.28
MI,65,M,G,UW,Y,Y,4,7185.0
MI,65,F,G,UW,N,Y,1,2053.32
NC,65,F,G,UW,Y,Y,4,5606.28
NE,65,F,G,UW,Y,Y,1,1622.64
NJ,65,F,G,UW,Y,N,1,1985.64
OH,65,M,G,UW,Y,N,1,2027.16
OH,65,F,G,UW,Y,Y,1,1586.4
PA,65,F,G,UW,Y,Y,2,3708.96
PA,65,M,G,UW,Y,Y,2,3504.6
SC,65,F,G,UW,N,Y,1,1643.04
TX,65,F,G,UW,Y,N,1,1645.56
TX,65,M,G,UW,Y,N,1,2418.12
TX,65,F,G,UW,Y,Y,2,2886.24
TX,65,M,G,UW,Y,Y,1,1659.6
VA,65,F,G,UW,Y,Y,1,1284.24
VA,65,M,G,UW,N,Y,2,3229.32
VA,65,F,G,UW,N,Y,1,1605.36
VA,65,F,G,OE,Y,N,1,569.88
AZ,65,M,G,OE,Y,Y,1,652.44
AZ,65,M,N,OE,Y,Y,2,2905.68
CO,65,F,N,OE,Y,Y,1,1248.96
GA,65,M,N,OE,Y,N,2,3192.0
GA,65,F,N,OE,Y,Y,1,1217.16
GA,65,M,N,OE,Y,Y,1,1458.6
IL,65,F,N,OE,Y,Y,3,3283.08
IL,65,M,N,OE,Y,Y,4,5006.02
KS,65,M,N,OE,Y,Y,1,1326.96
LA,65,F,N,OE,Y,N,1,1252.2
MI,65,F,N,OE,Y,Y,1,1179.48
NC,65,F,N,OE,Y,N,1,1127.64
NC,65,F,N,OE,Y,Y,1,988.92
NH,65,F,N,OE,Y,N,1,1974.12
NJ,65,M,N,OE,Y,N,1,1590.24
OH,65,F,N,OE,Y,N,1,1368.72
PA,65,F,N,OE,Y,Y,2,2426.76
PA,65,M,N,OE,Y,Y,2,3131.04
VA,65,M,N,OE,Y,N,1,1211.04
VA,65,M,N,OE,Y,Y,1,1362.36
AZ,65,F,N,UW,Y,Y,1,1359.36
CO,65,F,N,UW,Y,Y,1,1125.48
GA,65,F,N,UW,Y,N,1,1387.8
IL,65,M,N,UW,Y,N,1,1415.76
IL,65,F,N,UW,Y,Y,2,2265.12
IL,65,M,N,UW,Y,Y,4,4967.76
MI,65,M,N,UW,Y,N,1,1431.0
MI,65,F,N,UW,Y,Y,1,1179.48
MI,65,F,N,UW,N,Y,1,1474.32
NC,65,M,N,UW,Y,Y,1,1137.36
NE,65,M,N,UW,N,Y,1,1693.8
NJ,65,F,N,UW,Y,N,1,1382.88
NJ,65,M,N,UW,Y,N,1,1641.24
PA,65,M,N,UW,Y,N,1,1785.12
TX,65,F,N,UW,Y,N,1,1543.56
WI,65,F,G,OE,Y,Y,4,7627.32
WI,65,M,G,OE,Y,Y,1,2368.32
WI,65,M,G,UW,N,N,1,2206.56
IA,68,F,F,GI,Y,Y,1,1608.72
KS,68,M,F,UW,N,Y,1,2680.8
OH,68,M,G,GI,Y,N,1,2027.16
TX,68,M,G,GI,Y,Y,1,1659.6
AZ,68,F,G,OE,Y,N,2,3750.72
AZ,68,F,G,OE,Y,Y,1,1644.72
AZ,68,M,G,OE,Y,Y,1,1891.32
CO,68,F,G,OE,Y,Y,1,1793.28
CO,68,M,G,OE,Y,Y,1,1875.6
FL,68,F,G,OE,Y,Y,1,2651.28
GA,68,F,G,OE,Y,N,5,9756.84
GA,68,F,G,OE,Y,Y,2,3344.88
GA,68,M,G,OE,Y,Y,2,4056.48
IA,68,F,G,OE,Y,N,1,1639.92
IA,68,F,G,OE,Y,Y,1,1335.36
IA,68,M,G,OE,Y,Y,6,9330.04
IL,68,F,G,OE,Y,N,2,3299.52
IL,68,F,G,OE,Y,Y,3,4637.76
IL,68,M,G,OE,Y,Y,9,14695.92
LA,68,F,G,OE,Y,N,1,1641.6
LA,68,M,G,OE,Y,Y,4,7723.92
MI,68,M,G,OE,Y,N,1,1931.16
MI,68,M,G,OE,Y,Y,1,1693.56
NC,68,F,G,OE,Y,Y,4,5388.48
NE,68,F,G,OE,Y,N,1,1802.88
NE,68,F,G,OE,Y,Y,1,1622.64
NE,68,M,G,OE,Y,Y,4,7301.76
NH,68,F,G,OE,Y,Y,1,2180.16
NJ,68,F,G,OE,Y,Y,2,3693.36
PA,68,F,G,OE,Y,N,1,1820.28
PA,68,M,G,OE,Y,N,1,2431.68
PA,68,F,G,OE,Y,Y,1,1451.28
PA,68,M,G,OE,Y,Y,5,10069.44
SC,68,M,G,OE,Y,N,1,1920.12
SC,68,F,G,OE,Y,Y,2,2928.72
SC,68,M,G,OE,Y,Y,1,1683.96
TN,68,F,G,OE,Y,Y,1,1408.8
TN,68,M,G,OE,Y,Y,1,1620.12
TX,68,F,G,OE,Y,Y,2,3030.6
TX,68,M,G,OE,Y,Y,4,6804.36
VA,68,F,G,OE,Y,N,1,1426.92
VA,68,M,G,OE,Y,N,1,1605.36
VA,68,F,G,OE,Y,Y,1,1284.24
VA,68,M,G,OE,Y,Y,4,5779.2
VA,68,F,G,OE,Y,Y,1,1284.24
VA,68,M,G,OE,Y,Y,4,6105.0
AZ,68,F,G,UW,Y,Y,1,1644.72
AZ,68,M,G,UW,Y,Y,3,5673.96
AZ,68,M,G,UW,N,Y,2,4160.88
CO,68,F,G,UW,Y,Y,1,1667.28
FL,68,F,G,UW,Y,N,1,2719.32
GA,68,F,G,UW,Y,Y,1,1742.88
GA,68,M,G,UW,Y,Y,2,3846.48
IA,68,F,G,UW,Y,N,2,3123.72
IA,68,F,G,UW,N,N,1,1803.96
IA,68,M,G,UW,N,Y,1,1652.52
IL,68,F,G,UW,Y,N,1,1853.64
IL,68,F,G,UW,N,N,1,2062.2
IL,68,F,G,UW,Y,Y,6,8956.24
IL,68,M,G,UW,Y,Y,4,6681.6
IL,68,M,G,UW,N,Y,3,5512.32
IL,68,F,G,UW,N,Y,1,1855.92
LA,68,F,G,UW,Y,N,1,2124.48
MI,68,F,G,UW,Y,N,1,1814.88
MI,68,F,G,UW,Y,Y,1,1472.64
MI,68,M,G,UW,Y,Y,4,7048.08
NC,68,F,G,UW,Y,Y,3,4041.36
NC,68,M,G,UW,Y,Y,5,7746.0
NE,68,F,G,UW,Y,Y,1,1622.64
NE,68,M,G,UW,Y,Y,2,3650.88
NE,68,F,G,UW,N,Y,1,1784.76
NJ,68,F,G,UW,Y,N,1,1985.64
NJ,68,M,G,UW,Y,N,3,6850.44
NJ,68,F,G,UW,Y,Y,1,1846.73
NJ,68,M,G,UW,Y,Y,1,2123.64
PA,68,M,G,UW,Y,Y,2,3968.4
SC,68,F,G,UW,Y,Y,5,7321.8
TN,68,M,G,UW,Y,Y,2,3240.34
TX,68,F,G,UW,Y,N,1,1645.56
TX,68,F,G,UW,Y,Y,2,3287.16
TX,68,M,G,UW,Y,Y,1,1825.56
TX,68,M,G,UW,N,Y,1,2332.8
TX,68,M,G,UW,N,Y,1,2735.76
VA,68,F,G,UW,Y,Y,3,4093.56
VA,68,M,G,UW,Y,Y,1,1444.8
VA,68,M,G,UW,N,Y,2,3831.19
FL,68,F,G,OE,Y,Y,1,1062.6
FL,68,M,N,OE,Y,N,1,2341.68
GA,68,F,N,OE,Y,N,2,2775.6
GA,68,M,N,OE,Y,Y,2,2799.36
IL,68,F,N,OE,Y,N,1,1258.44
LA,68,F,N,OE,Y,Y,1,1126.92
LA,68,M,N,OE,Y,Y,1,1342.44
MI,68,F,N,OE,Y,Y,1,1179.48
MI,68,M,N,OE,Y,Y,1,1356.36
NC,68,F,N,OE,Y,N,1,1127.64
NE,68,M,N,OE,Y,N,1,1505.52
NJ,68,F,N,OE,Y,N,1,1382.88
NJ,68,M,N,OE,Y,N,1,1590.24
NJ,68,F,N,OE,Y,Y,2,2572.08
PA,68,F,N,OE,Y,N,1,1552.32
SC,68,M,N,OE,Y,Y,1,1297.56
TN,68,M,N,OE,Y,Y,1,1189.44
TX,68,M,N,OE,Y,Y,3,3898.92
AZ,68,M,N,UW,Y,N,1,1656.6
GA,68,F,N,UW,Y,N,1,1432.32
GA,68,M,N,UW,Y,Y,3,4316.88
GA,68,M,N,UW,N,Y,1,1539.72
IA,68,F,N,UW,Y,Y,2,2456.4
IL,68,F,N,UW,Y,N,2,2389.56
IL,68,F,N,UW,Y,Y,1,1132.56
IL,68,M,N,UW,Y,Y,4,5096.64
IL,68,F,N,UW,N,Y,1,1245.72
MI,68,F,N,UW,Y,N,1,1244.28
NC,68,F,N,UW,Y,Y,1,1148.76
NC,68,M,N,UW,Y,Y,1,1137.36
NJ,68,F,N,UW,Y,N,2,2765.76
NJ,68,M,N,UW,Y,N,1,1641.24
OH,68,M,N,UW,Y,N,1,1828.44
PA,68,F,N,UW,Y,Y,2,2722.78
TX,68,F,N,UW,Y,Y,1,1059.48
TX,68,M,N,UW,Y,Y,1,1340.28
WI,68,M,G,OE,Y,Y,1,1833.72
LA,68,M,F,UW,N,Y,1,2481.72
CO,68,F,G,GI,Y,N,1,1669.44
IL,68,M,G,GI,Y,Y,1,1670.4
IL,68,M,G,GI,N,Y,1,1876.8
MI,68,F,G,GI,Y,N,1,1679.16
NE,68,F,G,GI,Y,N,1,1802.88
AZ,68,M,G,OE,Y,Y,1,1891.32
CO,68,F,G,OE,Y,Y,1,1793.28
CO,68,M,G,OE,Y,Y,3,5398.08
FL,68,F,G,OE,Y,Y,1,2651.28
GA,68,F,G,OE,Y,Y,1,1672.44
GA,68,M,G,OE,Y,Y,2,3908.16
IA,68,M,G,OE,Y,N,1,1669.2
IA,68,F,G,OE,Y,Y,2,2811.24
IA,68,M,G,OE,Y,Y,1,1660.44
IL,68,F,G,OE,Y,N,2,3132.72
IL,68,F,G,OE,Y,Y,4,6306.0
IL,68,M,G,OE,Y,Y,6,10075.92
KS,68,M,G,OE,Y,Y,1,2119.28
LA,68,F,G,OE,Y,Y,1,1564.32
LA,68,M,G,OE,Y,Y,2,3324.24
MI,68,F,G,OE,Y,N,1,1679.16
MI,68,F,G,OE,Y,Y,1,1591.68
MI,68,M,G,OE,Y,Y,1,1747.8
NC,68,F,G,OE,Y,N,1,1536.12
NC,68,F,G,OE,Y,Y,1,1347.12
